club_id,season,goalkeeper_val,centre_back_val,full_back_val,def_mid_val,central_mid_val,winger_val,forward_val,points
79,2012,6000000.00000000,5098599.67656572,3015705.95853973,6430260.36131775,4386747.25035794,5985215.56061361,7395834.32515268,43
39,2012,939270.52666012,1520147.87430684,1091492.57488044,3387857.78175313,2889759.60885509,1468221.94199243,4649831.40655106,42
41,2012,9009803.92157059,3647857.80813412,5168281.25000000,5640744.95308502,6847542.66991408,8223411.49773071,5614079.07425265,48
27,2012,27441176.47058824,16353057.41574657,21968668.40731070,22124022.05301691,30295116.77282378,35656018.07034527,27935347.98533736,91
4,2012,1433088.23529412,2285395.39541653,3518402.15439856,1273972.60273973,3306664.29080542,2191583.24063775,2061500.83698390,44
33,2012,1068382.35294118,10864306.00367771,5406685.06961114,4479855.37190083,8574710.76896448,15868103.84793695,10444579.00806930,55
18,2012,10457250.81699346,6434673.64670194,3035041.29746129,3234406.46218684,2669669.66966967,7192984.77828676,5486272.87852520,47
82,2013,5110294.11764706,3277557.17916137,11891412.05615194,2344154.34380776,8579683.27016784,6000000.00000000,3318389.30551027,60
16,2014,3338235.29411765,22168655.41327125,8635717.70715887,7467044.87506374,22756905.43071161,13158319.78319870,16688482.57006152,46
82,2014,5514705.88235294,6706301.97293331,13572029.05037899,14967517.19145856,20099863.99846546,10159361.06982291,3713521.24183007,69
3,2014,4379411.76470588,3032114.59145067,2250313.37511668,782956.97284101,2117580.26624902,1617768.59504132,2196739.13043478,40
42,2014,9500000.00000000,2361789.64686723,2747764.68387579,2641356.75814311,4833484.57350272,325000.00000000,3793396.39970610,37
42,2015,8000000.00000000,2739938.51682720,2500713.34865098,2121759.10729888,2645925.40036489,1414968.31391509,1821513.05057096,25
86,2015,2166666.66670000,3924860.83277666,1703479.97619454,1439898.14533293,4611439.78164440,2679220.39424980,3308833.37051082,38
16,2016,6161764.70588235,17043409.62905320,8584031.01840104,18862624.58471661,19128526.60223547,13498050.68228874,40874348.32977320,64
41,2016,2319117.64707647,2664690.01440105,2922086.38957176,5289250.59341261,5873715.37612153,237804.87802439,3394903.35939496,38
3,2017,9500000.00000000,5923673.78372642,6750848.84673144,2057555.98932724,4597438.20803311,2044403.57330531,3754097.08131731,22
42,2012,8250000.00000000,2648813.41171514,2494563.43397527,4500000.00000000,3330347.11587545,766666.66670000,5817552.13582893,45
44,2013,2856617.64705882,3118767.77251185,2422963.07370309,2570096.21048498,2422931.90770962,,6585844.99461787,41
24,2014,5527959.27256005,3225902.29103463,2658831.24180558,3274889.38053097,2526493.74710514,3303122.95260974,3865458.72878852,43
167,2016,4107843.13722353,4159123.90486698,2654742.88881149,1540819.85623270,2451655.70422774,2333333.33330000,3039731.05133983,38
86,2012,2000000.00000000,5539973.42919827,2365959.83498112,2880957.21634265,6662735.51731566,5500000.00000000,5569321.19309016,34
33,2015,7497598.82391375,11648255.44778563,3943892.75074479,10717368.42107311,11017095.54444837,12975093.48807547,7947436.35181467,52
33,2016,9000000.00000000,9791666.66665585,5176679.90729906,12120150.55008660,14184221.22224014,4592610.06289299,6320759.53056820,43
41,2017,1759803.92155882,4124912.72384845,3140863.33131121,3388655.11550363,3684828.19264069,1716315.78949064,2284784.32083352,31
86,2016,1479244.35721295,2542508.14827813,1856015.43895861,3304258.06451613,4591690.99756605,2842114.95946942,6440939.99882022,45
86,2017,6125000.00000000,3414945.75745874,4170425.37588641,1698293.89574887,6434020.18940577,3212480.36906920,8716094.57513202,42
38,2012,2057720.58823529,1003706.59105789,1516539.59748931,1650753.29566855,1273857.36576155,1725043.91933084,1126489.88729338,30
15,2014,17000000.00000000,9544659.76977998,3827171.52713861,13406551.05972545,9944247.12086807,10132164.03163850,9843335.31391572,61
33,2014,4003676.47058824,12281041.06972490,5667538.28912962,5237303.93770931,11028620.68965517,12363177.72914511,9598137.27347221,48
4,2013,,1459678.23984931,2312473.73161213,1525522.01257862,6949930.18150197,1444871.79487179,5023971.84957115,26
41,2015,2213047.74362230,2069715.89856426,2153234.96027242,2818584.07079646,4064926.48150902,1250000.00000000,3435937.87661598,41
27,2015,44471078.43137255,33800704.98915401,15430993.69085174,11761560.69364162,32225411.70634921,23020714.67940891,68007906.32506005,88
27,2016,33473529.41174412,39889510.06914429,11681622.94831443,17924952.22740113,33930740.50586599,16912293.80640863,70846225.04296898,82
18,2018,12000000.00000000,26872489.08296943,3004623.04409673,11753966.41306365,21022362.15178450,3585098.33585477,23664175.09966268,55
18,2019,10750000.00000000,26715416.66666667,9086255.09070715,21099652.08745902,12123112.47362399,4869668.62640299,21200947.60310910,65
18,2020,5815346.85863874,27959408.74374506,9059734.82205164,19011291.25651419,16820731.61686488,7375275.27525568,27621209.07812814,49
15,2023,2593137.25490294,34479884.34016169,38510755.17224590,17761809.71390552,56229537.27635506,24918579.55661936,28078519.85559567,90
15,2024,2588235.29411765,36716907.58805564,33653450.36319237,13607540.03558719,76530320.15065913,17793540.75076375,32080830.55243237,69
533,2013,1807254.90196078,3072077.44540283,750000.00000000,2071356.29968682,10594696.96969697,474978.88513514,10240895.29590288,44
533,2014,8000000.00000000,3885433.28017573,2945920.15679802,4078546.08060941,16036125.60386910,2980834.75298126,12267003.32395807,44
44,2016,2250000.00000000,6068072.03710964,4538993.97948565,1100000.00000000,5375923.34313728,3634254.10264469,2645177.81792929,49
60,2012,6000000.00000000,3167303.10262530,2919995.99908551,3487651.34667658,3152037.13967719,3765323.19391635,2924099.92372235,51
105,2015,1691176.47055588,1356006.37280935,1002136.59264788,617137.02190865,1236419.90440783,,1012053.39221196,38
533,2015,5360294.11764706,5682944.25918018,2498825.46394174,3618834.82291301,8937009.69508585,1336419.75308642,4157857.33173949,37
42,2017,1477941.17647059,8585871.23325893,2652758.24897680,2375384.53085726,1559311.22448980,3158823.12642912,5675397.56780550,39
127,2014,1000000.00000000,1372069.86824003,700873.61677344,1500000.00000000,1705094.40104167,1947221.59219778,1525595.62841530,31
